Animal,Category,Scales,Fur,Feathers,Legs,Habitat,Diet,Lays Eggs,Flies,Speed (mph),Changes Color,Has A Pouch,Domesticated,Poisonous or Venomous,Nocturnal,Hibernates,Breathes Under Water,Lives in Groups,Metamorphosis,Average Lifespan,Teeth,Temperature,Common Pet,Wings,Weight (lbs),Height (inches),Colors,Endangered,Has Tail,Has Dorsal Fin,Pattern,Preferred Environment Temperature,Human Interaction,Territory Size (sq miles),Intelligence Level,Tree Climbing,Fishing Ability,Speech Capability,Eggs per Clutch,Clutches per Year,Cheek Pouches,Social Bonding Level,Hoarding Behavior,Human Usage Products,Group Size,Nest Location,Diet Preferences,Migration,Hunting Technique,Burrowing Behavior
Chimpanzee,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,25,No,No,No,No,No,No,No,Yes,No,50,Yes,Warm,No,No,130,48,Black,Yes,No,No,Solid,75,Cautious,15,Abstract Thinker,Professional,Poor,Complex Vocalizations,0,0,No,Colonial,Complex,Research,50,Tree Branch,Fruits;Insects;Small Mammals,No,Tool Use;Group Hunting,Non-Burrowing
Chinchilla,Mammal,No,Fur,No,4,Mountain,Herbivore,No,No,15,No,No,Yes,No,Yes,No,No,Yes,No,15,Yes,Cold,Yes,No,1.5,10,Gray;White,No,Yes,No,Solid,65,Dependent,0,Learning,Professional,Poor,Basic,0,1,No,Colonial,Simple,Pets;Fur,4,Rock Crevices,Hay;Pellets,No,Grazing;Browsing,Non-Burrowing
Chipmunk,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,21,No,No,No,No,No,Yes,No,No,No,3,Yes,Warm,No,No,0.25,6,Brown;Striped,No,Yes,No,Striped,70,Tolerant,0.1,Learning,Good,Poor,Basic,0,1,Yes,Solitary,Complex,Tourism;Research,1,Underground Burrow,Seeds;Nuts;Fruits,No,Foraging;Caching,Tunneling
Cicada,Insect,No,No,No,6,Forest,Herbivore,Yes,Yes,8,No,No,No,No,No,No,No,Yes,Yes,17,No,Warm,No,Yes,0.01,2,Green;Brown,No,No,No,Camouflaged,80,Neutral,0,Simple,Poor,Poor,None,600,1,No,Periodic,Complex,Pest Control,1000,Tree Branches,Tree Sap,No,Piercing-Sucking,Non-Burrowing
Clownfish,Fish,Yes,No,No,0,Marine;Coral Reef,Omnivore,Yes,No,4,No,No,Yes,No,No,No,Yes,Yes,No,10,Yes,Warm,Yes,No,0.25,4,Orange;White,No,Yes,Yes,Striped,75,Dependent,0,Learning,Poor,Professional,None,1000,1,No,Pairs,No,Pets,2,Anemone,Plankton;Algae,No,Filter Feeding,Non-Burrowing
Cobra,Reptile,Yes,No,No,0,Forests;Grasslands,Carnivore,Yes,No,12,No,No,No,Venomous,Yes,No,No,Yes,No,18,Yes,Cold,No,No,15,72,Black;Brown;Yellow,Yes,No,No,Solid,85,Fearful,0.1,Learning,Poor,Poor,Basic,20,1,No,Solitary,No,Pets,1,Underground,Small Mammals;Birds,No,Ambush;Venom,Burrow User
Cockatiel,Bird,No,No,Yes,2,Domestic,Omnivore,Yes,Yes,15,No,No,Yes,No,No,No,No,Yes,No,15,No,Warm,Yes,Yes,0.25,11,Gray;White;Yellow,No,Yes,No,Various,72,Dependent,0,Complex Learner,Professional,Poor,Basic Speech,4,2,No,Pairs,No,Pets,2,Nest Box,Seeds;Vegetables,No,Foraging,Non-Burrowing
Collared Lizard,Reptile,Yes,No,No,4,Desert,Carnivore,Yes,No,16,Yes,No,No,No,No,No,No,No,No,5,Yes,Warm,No,No,0.25,14,Green;Blue;Yellow,No,Yes,No,Banded,90,Fearful,0.1,Learning,Good,Poor,Basic,6,1.4,No,Solitary,No,Pets;Research,1,Rock Crevices,Insects;Small Lizards,No,Stalking;Pouncing,Non-Burrowing
Common Crab,Crustacean,No,No,No,8,Coastal,Omnivore,Yes,No,3,No,No,No,No,Yes,No,No,No,No,3,No,Cold,No,No,1,4,Red;Brown,No,No,No,Solid,65,Neutral,0.1,Learning,Poor,Poor,None,2000,2,No,Solitary,No,Food;Research,1,Sandy Burrow,Small Animals;Algae,No,Scavenging;Ambush,Simple Burrower
Common Frog,Amphibian,No,No,No,4,Wetland,Carnivore,Yes,No,8,No,No,No,No,Yes,No,Yes,Yes,Yes,8,No,Cold,No,No,0.15,3,Green;Brown,No,No,No,Mottled,65,Neutral,0.01,Learning,Poor,Poor,Basic,2000,2,No,Groups,No,Research;Education,20,Water Edge,Insects;Small Animals,No,Ambush;Tongue Strike,Non-Burrowing
Common Sparrow,Bird,No,No,Yes,2,Urban,Omnivore,Yes,Yes,15,No,No,No,No,No,No,No,Yes,No,3,No,Warm,No,Yes,0.06,6,Brown;Gray,No,Yes,No,Solid,70,Social,0.1,Learning,Poor,Poor,Basic,5,1,No,Colonial,Simple,Research;Education,30,Building Cavities,Seeds;Insects,Some,Ground Feeding;Gleaning,Non-Burrowing
Copperhead Snake,Reptile,Yes,No,No,0,Forest,Carnivore,Yes,No,2,No,No,No,Venomous,Yes,No,No,No,No,18,Yes,Warm,No,No,3.3,36,Copper;Brown,No,No,No,Banded,75,Fearful,0.2,Learning,Good,Poor,Basic,8,2,No,Solitary,No,Research;Education,1,Ground Cover,Small Mammals;Lizards,No,Ambush;Venom Strike,Non-Burrowing
Corn Snake,Reptile,Yes,No,No,0,Various,Carnivore,Yes,No,2,No,No,Yes,No,Yes,No,No,No,No,20,Yes,Warm,Yes,No,2,48,Orange;Red;Brown,No,Yes,No,Checkered,80,Dependent,0,Learning,Good,Poor,Basic,12,2,No,Solitary,No,Pets;Education,1,Underground,Rodents,No,Constriction;Ambush,Non-Burrowing
Cow,Mammal,No,Fur,No,4,Various,Herbivore,No,No,25,No,No,Yes,No,No,No,No,Yes,No,20,Yes,Warm,No,No,1600,60,Multiple,No,Yes,No,Patched,65,Dependent,0,Learning,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Meat;Milk;Leather,50,Ground Level,Grass;Hay,No,Grazing,Non-Burrowing
Coyote,Mammal,No,Fur,No,4,Various,Carnivore,No,No,43,No,No,No,No,Yes,No,No,Yes,No,14,Yes,Warm,No,No,30,24,Gray;Brown,No,Yes,No,Solid,65,Cautious,10,Complex Learner,Good,Poor,Complex,0,1,No,Family,Simple,Fur;Pest Control,6,Ground Den,Small Mammals;Birds,No,Pack Hunting;Stalking,Burrow User
Crested Gecko,Reptile,Yes,No,No,4,Tropical,Omnivore,Yes,No,5,No,No,Yes,No,Yes,No,No,No,No,15,No,Warm,Yes,No,0.12,8,Multiple,No,Yes,No,Spotted,75,Dependent,0,Learning,Professional,Poor,Basic,2,3,No,Solitary,No,Pets;Education,1,Tree Cover,Insects;Fruits,No,Stalking;Pouncing,Non-Burrowing
Cricket,Insect,No,No,No,6,Various,Omnivore,Yes,No,2,No,No,No,No,Yes,No,No,Yes,No,0.5,No,Warm,Yes,No,0.01,1,Brown;Black,No,Yes,No,Solid,75,Neutral,0.01,Simple,Poor,Poor,None,50,3,No,Groups,Complex,Pet Food,10,Ground,Plants;Detritus,No,Foraging,Non-Burrowing
Crow,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,30,No,No,No,No,No,No,No,Yes,No,15,No,Warm,No,Yes,1,17,Black,No,Yes,No,Solid,70,Tolerant,0.5,Tool User,Professional,Poor,Basic Speech,5,1,No,Colonial,Simple,Pets,30,Tree Branch,Insects;Seeds;Carrion,Seasonal,Tool Use;Foraging,Non-Burrowing
Death's Head Cockroach,Insect,No,No,No,6,Tropical,Omnivore,Yes,Yes,3,No,No,Yes,No,Yes,No,No,Yes,Yes,2,Yes,Warm,Yes,Yes,0.01,2,Brown;Black,No,Yes,No,Skull Pattern,80,Dependent,0,Simple,Poor,Poor,None,40,4.5,No,Colonial,No,Pets;Education,50,Ground Litter,Plant Matter;Detritus,No,Scavenging,Tunneling
Degu,Mammal,No,Fur,No,4,Mountain,Herbivore,No,No,10,No,No,Yes,No,No,No,No,Yes,No,8,Yes,Warm,Yes,No,0.5,6,Brown;Gray,No,Yes,No,Solid,72,Dependent,0,Complex Learner,Good,Poor,Basic,0,1,Yes,Colonial,Complex,Pets;Research,10,Underground Colony,Seeds;Vegetables,No,Foraging;Grazing,Tunneling
Discus Fish,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,3,No,No,Yes,No,No,No,Yes,Yes,No,15,Yes,Warm,Yes,No,0.5,8,Multiple,No,Yes,Yes,Various,82,Dependent,0,Learning,Poor,Poor,None,100,4,No,Colonial,No,Pets;Ornamental,8,Vertical Surfaces,Small Invertebrates;Plants,No,Grazing;Picking,Non-Burrowing
Dog,Mammal,No,Fur,No,4,Various,Omnivore,No,No,45,No,No,Yes,No,No,No,No,Yes,No,12,Yes,Warm,Yes,No,30,24,Multiple,No,Yes,No,Various,72,Dependent,0,Complex Learner,Good,Poor,Basic Vocalizations,0,0,No,Family,Simple,Pets;Service;Protection,6,Human Structures,Meat;Commercial Feed,No,Scavenging;Hunting,Non-Burrowing
Dolphin,Mammal,No,No,No,0,Ocean,Carnivore,No,No,25,No,No,No,No,No,No,Yes,Yes,No,45,Yes,Warm,No,No,880,138,Gray,No,Yes,Yes,Solid,70,Social,100,Abstract Thinker,Poor,Professional,Complex Vocalizations,0,1,No,Colonial,No,Tourism;Entertainment,12,Open Ocean,Fish;Squid,Seasonal,Group Hunting;Echolocation,Non-Burrowing
Donkey,Mammal,No,Fur,No,4,Various,Herbivore,No,No,15,No,No,Yes,No,No,No,No,Yes,No,40,Yes,Warm,No,No,400,48,Gray;Brown,No,Yes,No,Solid,70,Dependent,0,Complex Learner,Poor,Poor,Basic,0,1,No,Colonial,No,Transport;Labor,10,Ground Level,Grass;Hay,No,Grazing;Browsing,Non-Burrowing
Dragonfly,Insect,No,No,No,6,Wetland,Carnivore,Yes,Yes,35,No,No,No,No,No,No,No,No,Yes,0.5,No,Warm,No,Yes,0.001,4,Multiple,No,Yes,No,Various,75,Neutral,0.1,Learning,Poor,Poor,None,100,2,No,Solitary,Complex,Pest Control,1,Water Plants,Flying Insects,No,Aerial Hunting,Non-Burrowing
Electric Eel,Fish,Yes,No,No,0,Freshwater,Carnivore,Yes,No,8,No,No,No,Venomous,Yes,No,Yes,No,No,15,Yes,Warm,No,No,44,96,Gray;Brown,No,Yes,Yes,Solid,75,Fearful,0.1,Learning,Poor,Professional,None,1200,4,No,Solitary,No,Research;Education,1,River Bottom,Fish;Invertebrates,No,Electrical Discharge;Stunning,Non-Burrowing
Elephant,Mammal,No,Fur,No,4,Forests;Savannas,Herbivore,No,No,25,No,No,No,No,No,No,No,Yes,No,65,Yes,Warm,No,No,13000,120,Gray;Brown,Yes,Yes,No,Textured,80,Tolerant,100,Abstract Thinker,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Ivory;Tourism,20,Ground Level,Grass;Leaves;Fruit,Seasonal,Grazing,Non-Burrowing
Elk,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,45,No,No,No,No,No,No,No,Yes,No,20,Yes,Cold,No,No,800,57,Brown;Tan,No,Yes,No,Solid,60,Cautious,10,Learning,Poor,Poor,Basic,0,1,No,Colonial,No,Meat;Hide;Tourism,25,Ground Cover,Grass;Plants,Seasonal,Grazing;Browsing,Non-Burrowing
Fennec Fox,Mammal,No,Fur,No,4,Desert,Omnivore,No,No,25,No,No,Yes,No,Yes,No,No,Yes,No,12,Yes,Warm,Yes,No,3,8,Cream;White,No,Yes,No,Solid,90,Cautious,1,Complex Learner,Good,Poor,Basic,0,0.7,No,Family,Simple,Pets;Tourism,4,Underground Den,Insects;Small Prey,No,Pouncing;Digging,Tunneling
Ferret,Mammal,No,Fur,No,4,Various,Carnivore,No,No,15,No,No,Yes,No,Yes,No,No,Yes,No,8,Yes,Warm,Yes,No,3,15,Multiple,No,Yes,No,Solid,70,Dependent,0,Complex Learner,Good,Poor,Basic,0,0,No,Colonial,Simple,Pets;Hunting,8,Underground,Small Mammals;Birds,No,Stalking;Tunneling,Non-Burrowing
Fire-Bellied Toad,Amphibian,No,No,No,4,Semi-aquatic,Carnivore,Yes,No,3,No,No,Yes,Poisonous,No,No,No,Yes,Yes,12,No,Cold,Yes,No,0.1,2,Green;Red,No,No,No,Mottled,70,Dependent,0,Learning,Poor,Poor,Basic,40,2,No,Social,No,Pets;Research,5,Water Edge,Insects;Worms,No,Ambush;Tongue Strike,Non-Burrowing
Fire-bellied Newt,Amphibian,No,No,No,4,Wetland,Carnivore,Yes,No,0.5,No,No,Yes,Poisonous,No,No,Yes,No,Yes,15,No,Cold,Yes,No,0.035,3,Black;Red,No,Yes,No,Two-toned,68,Dependent,0,Learning,Poor,Poor,Basic,200,2,No,Social,No,Pets;Research,5,Water Edge,Insects;Worms,No,Stalking;Ambush,Non-Burrowing
Flamingo,Bird,No,No,Yes,2,Wetland,Omnivore,Yes,Yes,35,No,No,No,No,No,No,No,Yes,No,20,No,Warm,No,Yes,6,52,Pink;White;Red,No,Yes,No,Solid,75,Cautious,1,Learning,Poor,Good,Basic,1,1,No,Colonial,Complex,Pets,50,Mudflat,Algae;Small Crustaceans,Yes,Filter Feeding,Non-Burrowing
Flying Dragon Lizard,Reptile,Yes,No,No,4,Forest,Carnivore,Yes,Glides,8,Yes,No,No,No,No,No,No,No,No,10,Yes,Warm,No,Yes,0.14,8,Green;Orange;Brown,No,Yes,No,Various,80,Fearful,0.1,Learning,Professional,Poor,Basic,4,2,No,Solitary,No,Tourism;Research,1,Tree Holes,Insects,No,Gliding;Ambush,Non-Burrowing
Flying Fish,Fish,Yes,No,No,0,Marine,Carnivore,Yes,Glides,35,No,No,No,No,No,No,Yes,Yes,No,5,Yes,Cold,No,Yes,2,18,Blue;Silver,No,Yes,Yes,Solid,72,Fearful,0,Learning,Poor,Professional,None,50,4,No,School,No,Food,100,Open Ocean,Plankton;Small Fish,Yes,Surface Feeding;Gliding,Non-Burrowing
